plant,year,fin_material_id,fin_material_release_type,fin_material_production_type,fin_production_quantity,prod_material_id,prod_material_release_type,prod_material_production_type,prod_production_quantity,component_id,component_material_release_type,component_material_production_type,component_consumption_quantity
RLT_14,2024,10003,FIN,8002,12091.0,80003,PROD,8000.0,23195.0,70003,RM,,30209.0
RLT_14,2024,10003,FIN,8002,12091.0,80003,PROD,8000.0,23195.0,90020,ADD,,823.0
RLT_14,2024,10003,FIN,8002,12091.0,80013,PROD,8001.0,42439.0,90019,ADD,,1205.0
RLT_14,2024,10003,FIN,8002,12091.0,80073,PROD,8007.0,10806.0,90017,ADD,,364.0
RLT_14,2024,10003,FIN,8002,12091.0,80073,PROD,8007.0,10806.0,90018,ADD,,121.0
RLT_14,2024,10003,FIN,8002,12091.0,50003,PROD,8002.0,12091.0,90015,ADD,,610.0
RLT_14,2024,10003,FIN,8002,12091.0,50003,PROD,8002.0,12091.0,90016,ADD,,252.0
RLT_14,2024,10004,FIN,8002,12091.0,50004,PROD,8002.0,12091.0,80074,PROD,8007.0,10806.0
RLT_14,2024,10004,FIN,8002,12091.0,80074,PROD,8007.0,10806.0,80014,PROD,8001.0,42439.0
RLT_14,2024,10004,FIN,8002,12091.0,80014,PROD,8001.0,42439.0,80004,PROD,8000.0,23195.0
RLT_14,2024,10004,FIN,8002,12091.0,80004,PROD,8000.0,23195.0,70004,RM,,30209.0
RLT_14,2024,10004,FIN,8002,12091.0,80004,PROD,8000.0,23195.0,90025,ADD,,823.0
RLT_14,2024,10004,FIN,8002,12091.0,80014,PROD,8001.0,42439.0,90024,ADD,,1205.0
RLT_14,2024,10004,FIN,8002,12091.0,80074,PROD,8007.0,10806.0,90022,ADD,,364.0
RLT_14,2024,10004,FIN,8002,12091.0,80074,PROD,8007.0,10806.0,90023,ADD,,121.0
RLT_14,2024,10004,FIN,8002,12091.0,50004,PROD,8002.0,12091.0,90020,ADD,,610.0
RLT_14,2024,10004,FIN,8002,12091.0,50004,PROD,8002.0,12091.0,90021,ADD,,252.0
RLT_14,2024,10005,FIN,8002,12023.0,50005,PROD,8002.0,12023.0,80075,PROD,8007.0,10759.0
RLT_14,2024,10005,FIN,8002,12023.0,80075,PROD,8007.0,10759.0,80015,PROD,8001.0,42650.0
RLT_14,2024,10005,FIN,8002,12023.0,80015,PROD,8001.0,42650.0,80005,PROD,8000.0,24730.0
RLT_14,2024,10005,FIN,8002,12023.0,80005,PROD,8000.0,24730.0,70005,RM,,30624.0
RLT_14,2024,10005,FIN,8002,12023.0,80005,PROD,8000.0,24730.0,90030,ADD,,830.0
RLT_14,2024,10005,FIN,8002,12023.0,80015,PROD,8001.0,42650.0,90029,ADD,,1214.0
RLT_14,2024,10005,FIN,8002,12023.0,80075,PROD,8007.0,10759.0,90027,ADD,,365.0
RLT_14,2024,10005,FIN,8002,12023.0,80075,PROD,8007.0,10759.0,90028,ADD,,122.0
RLT_14,2024,10005,FIN,8002,12023.0,50005,PROD,8002.0,12023.0,90025,ADD,,585.0
RLT_14,2024,10005,FIN,8002,12023.0,50005,PROD,8002.0,12023.0,90026,ADD,,240.0
RLT_14,2024,10006,FIN,8002,12067.0,50006,PROD,8002.0,12067.0,80076,PROD,8007.0,11027.0
RLT_14,2024,10006,FIN,8002,12067.0,80076,PROD,8007.0,11027.0,80016,PROD,8001.0,41471.0
RLT_14,2024,10006,FIN,8002,12067.0,80016,PROD,8001.0,41471.0,80006,PROD,8000.0,23516.0
RLT_14,2024,10006,FIN,8002,12067.0,80006,PROD,8000.0,23516.0,70006,RM,,31048.0
RLT_14,2024,10006,FIN,8002,12067.0,80006,PROD,8000.0,23516.0,90035,ADD,,843.0
RLT_14,2024,10006,FIN,8002,12067.0,80016,PROD,8001.0,41471.0,90034,ADD,,1198.0
RLT_14,2024,10006,FIN,8002,12067.0,80076,PROD,8007.0,11027.0,90032,ADD,,355.0
RLT_14,2024,10006,FIN,8002,12067.0,80076,PROD,8007.0,11027.0,90033,ADD,,120.0
RLT_14,2024,10006,FIN,8002,12067.0,50006,PROD,8002.0,12067.0,90030,ADD,,603.0
RLT_14,2024,10006,FIN,8002,12067.0,50006,PROD,8002.0,12067.0,90031,ADD,,242.0
RLT_14,2024,10009,FIN,8002,12023.0,50009,PROD,8002.0,12023.0,80079,PROD,8007.0,10759.0
RLT_14,2024,10009,FIN,8002,12023.0,80079,PROD,8007.0,10759.0,80019,PROD,8001.0,42650.0
RLT_14,2024,10009,FIN,8002,12023.0,80019,PROD,8001.0,42650.0,80009,PROD,8000.0,24730.0
RLT_14,2024,10009,FIN,8002,12023.0,80009,PROD,8000.0,24730.0,70009,RM,,30624.0
RLT_14,2024,10009,FIN,8002,12023.0,80009,PROD,8000.0,24730.0,90050,ADD,,830.0
RLT_14,2024,10009,FIN,8002,12023.0,80019,PROD,8001.0,42650.0,90049,ADD,,1214.0
RLT_14,2024,10009,FIN,8002,12023.0,80079,PROD,8007.0,10759.0,90047,ADD,,365.0
RLT_14,2024,10009,FIN,8002,12023.0,80079,PROD,8007.0,10759.0,90048,ADD,,122.0
RLT_14,2024,10009,FIN,8002,12023.0,50009,PROD,8002.0,12023.0,90045,ADD,,585.0
RLT_14,2024,10009,FIN,8002,12023.0,50009,PROD,8002.0,12023.0,90046,ADD,,240.0
RLT_16,2024,10007,FIN,8002,12023.0,50007,PROD,8002.0,12023.0,80077,PROD,8007.0,10759.0
RLT_16,2024,10007,FIN,8002,12023.0,80077,PROD,8007.0,10759.0,80017,PROD,8001.0,42650.0
RLT_16,2024,10007,FIN,8002,12023.0,80017,PROD,8001.0,42650.0,80007,PROD,8000.0,24730.0
RLT_16,2024,10007,FIN,8002,12023.0,80007,PROD,8000.0,24730.0,70007,RM,,30624.0
RLT_16,2024,10007,FIN,8002,12023.0,80007,PROD,8000.0,24730.0,90040,ADD,,830.0
RLT_16,2024,10007,FIN,8002,12023.0,80017,PROD,8001.0,42650.0,90039,ADD,,1214.0
RLT_16,2024,10007,FIN,8002,12023.0,80077,PROD,8007.0,10759.0,90037,ADD,,365.0
RLT_16,2024,10007,FIN,8002,12023.0,80077,PROD,8007.0,10759.0,90038,ADD,,122.0
RLT_16,2024,10007,FIN,8002,12023.0,50007,PROD,8002.0,12023.0,90035,ADD,,585.0
RLT_16,2024,10007,FIN,8002,12023.0,50007,PROD,8002.0,12023.0,90036,ADD,,240.0
RLT_16,2024,10008,FIN,8002,12067.0,50008,PROD,8002.0,12067.0,80078,PROD,8007.0,11027.0
RLT_16,2024,10008,FIN,8002,12067.0,80078,PROD,8007.0,11027.0,80018,PROD,8001.0,41471.0
RLT_16,2024,10008,FIN,8002,12067.0,80018,PROD,8001.0,41471.0,80008,PROD,8000.0,23516.0
RLT_16,2024,10008,FIN,8002,12067.0,80008,PROD,8000.0,23516.0,70008,RM,,31048.0
RLT_16,2024,10008,FIN,8002,12067.0,80008,PROD,8000.0,23516.0,90045,ADD,,843.0
RLT_16,2024,10008,FIN,8002,12067.0,80018,PROD,8001.0,41471.0,90044,ADD,,1198.0
RLT_16,2024,10008,FIN,8002,12067.0,80078,PROD,8007.0,11027.0,90042,ADD,,355.0
RLT_16,2024,10008,FIN,8002,12067.0,80078,PROD,8007.0,11027.0,90043,ADD,,120.0
RLT_16,2024,10008,FIN,8002,12067.0,50008,PROD,8002.0,12067.0,90040,ADD,,603.0
RLT_16,2024,10008,FIN,8002,12067.0,50008,PROD,8002.0,12067.0,90041,ADD,,242.0
